Abjad,Kata Baku,Kata Tidak Baku
A,Aberasi,Abrasi
,Abjad,Abjad
,Absorpsi,Absorsi
,Adab,Adap
,Adhesi,Adesi
,Adibusana,Adi busana
,Adidaya,Adi daya
,Adjektif,Ajektif
,Administrator,Admin
,Advokat,Adpokat
,Afdal,Afdol
,Agamais,Agamis
,Ajek,Ajeg
,Akhirat,Akherat
,Aksesori,Aksesoris
,Aktif,Aktip
,Aktivitas,Aktifitas
,Aktual,Aktuil
,Akuarium,Aquarium
,Aluminium,Almunium
,Ambulans,Ambulan
,Analisis,Analisa
,Andal,Handal
,Antena,Antene
,Antre,Antri
,Anugerah,Anugrah
,Aparat,Aparatur
,Apostrof,Opostrop
,Apotek,Apotik
,Asas,Azas
,Asasi,Azasi
,Atlet,Atlit
,Atmosfer,Atmosfir
,Auditorium,Aditorium
,Autentik,Otentik
,Autopsi,Otopsi
,Azan,Adzan
B,Baka,Baqa
,Balig,Baligh
,Balsam,Balsem
,Banderol,Bandrol
,Barzakh,Barzah
,Batalion,Batalyon
,Baterai,Batere
,Batil,Bathil
,Bayangkara,Bhayangkara
,Bazar,Bazaar
,Becermin,Bercermin
,Bengkuang,Bengkoang
,Benzol,Bensol
,Besok,Esok
,Beterbangan,Berterbangan
,Biseps,Bisep
,Blanko,Blanko
,Blender,Belender
,Boks,Bok
,Bolpoin,Bolpen
,Bosan,Bosen
,Bumper,Bemper
,Bungker,Bangker
,Bus,Bis
C,Cabai,Cabe
,Capai,"Cape, Capek"
,Capcai,Cap cai
,Cedera,Cidera
,Cendekia,Cendikia
,Cendekiawan,Cendikiawan
,Cengkeram,Cengkram
,Cengkerama,Cengkrama
,Cengkih,Cengkeh
,Cinderamata,Cenderamata
,Cokelat,Coklat
D,Daftar,Daptar
,Dai,Da’i
,Dakwah,Da’wah
,Darma,Dharma
,Debit,Debet
,Debitor,Debitur
,Dekret,Dekrit
,Deodoran,Deodorant
,Depot,Depo
,Deputi,Deputy
,Derajat,Derajad
,Desain,Design
,Detail,Detil
,Detergen,Deterjen
,Deviasi,Defiasi
,Diagnosis,Diagnosa
,Dispenser,Despenser
,Distilasi,Destilasi
,Dividen,Deviden
,Donatur,Donator
,Durian,Duren
E,Efektif,Efektip
,Efektivitas,Efektifitas
,Ekosistem,Ekosistim
,Eksem,Eksim
,Ekshibisi,Eksibisi
,Ekspor,Eksport
